sec,nanosec,parent_frame,child_frame,x,y,z,qx,qy,qz,qw
103,291000000,ground_truth,base_link_truth,8.947671449520408,13.748620417632726,0.5000097631577324,-9.27708113921422e-05,0.00012197270966209465,0.6538980935230716,0.7565826192843231
103,325000000,ground_truth,base_link_truth,8.948932621679512,13.748517099715253,0.5000004956358819,-4.549330973586496e-06,6.327068444499076e-06,0.6464929234029312,0.7629199826516563
103,325000000,ground_truth,base_link_truth,8.948932621679512,13.748517099715253,0.5000004956358819,-4.549330973586496e-06,6.327068444499076e-06,0.6464929234029312,0.7629199826516563
103,325000000,ground_truth,base_link_truth,8.948932621679512,13.748517099715253,0.5000004956358819,-4.549330973586496e-06,6.327068444499076e-06,0.6464929234029312,0.7629199826516563
103,359000000,ground_truth,base_link_truth,8.948297909451162,13.748612823138776,0.5000037338580455,-3.417755713983592e-05,4.766913066348469e-05,0.6388029747947374,0.7693703633185663
103,427000000,ground_truth,base_link_truth,8.954980238372018,13.785230860927085,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,427000000,ground_truth,base_link_truth,8.954980238372018,13.785230860927085,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,427000000,ground_truth,base_link_truth,8.954980238372018,13.785230860927085,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,461000000,ground_truth,base_link_truth,8.956516271704318,13.795150975381594,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,495000000,ground_truth,base_link_truth,8.958052305036619,13.805071089836103,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,495000000,ground_truth,base_link_truth,8.958052305036619,13.805071089836103,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,529000000,ground_truth,base_link_truth,8.959543160917889,13.814699436218493,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,529000000,ground_truth,base_link_truth,8.959543160917889,13.814699436218493,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,563000000,ground_truth,base_link_truth,8.961079194250189,13.824619550673003,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,597000000,ground_truth,base_link_truth,8.96261522758249,13.834539665127512,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,597000000,ground_truth,base_link_truth,8.96261522758249,13.834539665127512,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,597000000,ground_truth,base_link_truth,8.96261522758249,13.834539665127512,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,665000000,ground_truth,base_link_truth,8.96568729424701,13.854379894036603,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,699000000,ground_truth,base_link_truth,8.96722332757931,13.864300008491112,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,733000000,ground_truth,base_link_truth,8.96875936091153,13.874220122945694,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,733000000,ground_truth,base_link_truth,8.96875936091153,13.874220122945694,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,801000000,ground_truth,base_link_truth,8.971876605027001,13.894352119926976,0.5,0.0,0.0,0.6507623146137307,0.759281508979759
103,835000000,ground_truth,base_link_truth,8.973412638359301,13.904272234381486,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,835000000,ground_truth,base_link_truth,8.973412638359301,13.904272234381486,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,835000000,ground_truth,base_link_truth,8.973412638359301,13.904272234381486,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,869000000,ground_truth,base_link_truth,8.974948671691601,13.914192348835995,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,903000000,ground_truth,base_link_truth,8.976484705023822,13.924112463290577,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,903000000,ground_truth,base_link_truth,8.976484705023822,13.924112463290577,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,937000000,ground_truth,base_link_truth,8.978020738356122,13.934032577745086,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
103,971000000,ground_truth,base_link_truth,8.979556771688422,13.943952692199595,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,5000000,ground_truth,base_link_truth,8.981002450118742,13.953289270509794,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,39000000,ground_truth,base_link_truth,8.982538483451043,13.963209384964303,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,39000000,ground_truth,base_link_truth,8.982538483451043,13.963209384964303,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,39000000,ground_truth,base_link_truth,8.982538483451043,13.963209384964303,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,73000000,ground_truth,base_link_truth,8.984074516783343,13.973129499418812,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,107000000,ground_truth,base_link_truth,8.985655727566513,13.983341381945586,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,107000000,ground_truth,base_link_truth,8.985655727566513,13.983341381945586,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,175000000,ground_truth,base_link_truth,8.988727794231114,14.003181610854604,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,175000000,ground_truth,base_link_truth,8.988727794231114,14.003181610854604,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,243000000,ground_truth,base_link_truth,8.991799860895634,14.023021839763695,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,243000000,ground_truth,base_link_truth,8.991799860895634,14.023021839763695,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,243000000,ground_truth,base_link_truth,8.991799860895634,14.023021839763695,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,311000000,ground_truth,base_link_truth,8.994917105011105,14.043153836744978,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,311000000,ground_truth,base_link_truth,8.994917105011105,14.043153836744978,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,311000000,ground_truth,base_link_truth,8.994917105011105,14.043153836744978,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,345000000,ground_truth,base_link_truth,8.996453138343405,14.053073951199487,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,413000000,ground_truth,base_link_truth,8.999480027556976,14.072622412036386,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,413000000,ground_truth,base_link_truth,8.999480027556976,14.072622412036386,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,413000000,ground_truth,base_link_truth,8.999480027556976,14.072622412036386,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,447000000,ground_truth,base_link_truth,9.001016060889276,14.082542526490895,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,481000000,ground_truth,base_link_truth,9.002552094221576,14.092462640945405,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,515000000,ground_truth,base_link_truth,9.004133305004746,14.102674523472178,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,515000000,ground_truth,base_link_truth,9.004133305004746,14.102674523472178,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,515000000,ground_truth,base_link_truth,9.004133305004746,14.102674523472178,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,549000000,ground_truth,base_link_truth,9.005669338337047,14.112594637926687,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,583000000,ground_truth,base_link_truth,9.007205371669347,14.122514752381196,0.49999999999999994,0.0,0.0,0.6507623146137307,0.759281508979759
104,617000000,ground_truth,base_link_truth,9.003223078835145,14.098644686882704,0.5000003130228843,-2.75489767895695e-06,4.078979507545266e-06,0.6246122657120445,0.7809350277057873
104,617000000,ground_truth,base_link_truth,9.003223078835145,14.098644686882704,0.5000003130228843,-2.75489767895695e-06,4.078979507545266e-06,0.6246122657120445,0.7809350277057873
104,651000000,ground_truth,base_link_truth,9.002594891657864,14.098776503746148,0.5000031962636162,-2.8048864283335225e-05,4.165147055817475e-05,0.6167424901647602,0.7871649752776014
104,685000000,ground_truth,base_link_truth,9.00196874280959,14.098918482529854,0.5000090975233075,-7.960770270361979e-05,0.00011855952694012152,0.6088116181076156,0.7933148134652719
104,719000000,ground_truth,base_link_truth,9.003190303923123,14.098670624959217,0.500000399110782,-3.356892309373526e-06,5.302196201620466e-06,0.6008147812202492,0.7993882652553026
104,719000000,ground_truth,base_link_truth,9.003190303923123,14.098670624959217,0.500000399110782,-3.356892309373526e-06,5.302196201620466e-06,0.6008147812202492,0.7993882652553026
104,753000000,ground_truth,base_link_truth,9.002571140676944,14.098839875119316,0.5000034598390695,-2.9012554466373578e-05,4.596280729427704e-05,0.592761045374435,0.8053783832040062
